Hidden_State,S1,S2,S3,S4,S5,S6,row_id,Internal_Mobility_Index,External_Mobility_Index,Per_Capita_Income,Cumulative_Cases_Rate,Average_Household_Persons,Inmigrants,Total_Households_Housed,Housing_Precariousness_Index,Commune,Date,Days,Higher_Education_Percentage,Postgraduade_Percentage,Social_Priority_Index_2020,Priority_2020,Code,Year,Month,Step,Step_Label,Quarantine_Start_Date,Quarantine_End_Date,Gross_Daily_Cases,Gross_Daily_Cases_Mobile_Average_7_Days
2.0,1.443489398002689e-05,0.9984790777889014,1.2237295846596311e-06,2.1828513452897403e-47,0.0015052635875338258,6.7547862417354054e-34,6749,0.870205368,6.159404542,250926.34,5028.32042538435,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-24,2020-07-26,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,16.18310021962952,16.51336757104855
2.0,0.0005672353053350824,0.9976483302367211,1.9188150400669746e-06,5.658539615654182e-40,0.00178251564290378,2.623693836676807e-26,6750,0.78713463,5.308812344,250926.34,5035.25603976419,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-25,2020-07-27,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,6.935614379840445,15.02716448965423
2.0,0.014918080670777606,0.982789527159594,6.536712175781079e-06,1.344743103015954e-32,0.0022858554574526715,2.3815587889943978e-18,6751,0.706617407,4.560415082,250926.34,5042.19165414403,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-26,2020-07-28,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,6.935614379839535,13.37582773254988
1.0,0.18196155925184587,0.8171547111476631,2.992182936170974e-06,1.06474795634211e-25,0.000880737404295508,1.3259230535339343e-11,6752,0.804302945,5.843855265,250926.34,5049.12726852387,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-27,2020-07-29,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,6.935614379840445,11.8896246511557
1.0,0.6221045165989597,0.37745989715036043,8.551236683821459e-07,1.4507020380251758e-23,0.00043472405840493285,7.068606590957943e-09,6753,0.792567641,5.829186135,250926.34,5060.6866258236,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-28,2020-07-30,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,11.55935729972953,11.22908994831284
1.0,0.960530424246028,0.039424565022519814,1.2175208349483482e-07,3.812462573331705e-22,4.458960397580145e-05,2.993753930233181e-07,6754,0.820819298,5.901879822,250926.34,5071.09004739337,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-29,2020-07-31,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,10.40342156977022,10.56855524547141
1.0,0.9983882500233608,0.0016030014079802509,5.710951161660524e-09,3.0454538985190914e-21,1.7513379709484719e-06,6.991519736710956e-06,6755,0.849016625,6.084700641,250926.34,5081.49346896313,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-30,2020-08-01,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,10.40342156976021,9.908020542629986
1.0,0.9991878782039708,0.000677516827445867,1.4640937135095556e-10,5.220192107981828e-19,4.425125613724228e-08,0.00013456057091781995,6756,0.858524394,6.430403129,250926.34,5093.05282626286,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-31,2020-08-02,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,11.55935729973044,9.24748583978726
1.0,0.9980500684299357,0.0019471974247717784,7.561252346822605e-12,3.164177909925836e-20,4.105692700750726e-08,2.6930808042185e-06,6757,0.779963056,5.790666087,250926.34,5105.76811929257,3.231087033,2352,96452,4.9388268,San Ramon,2020-08-01,2020-08-03,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,8,1,Cuarentena,2020-04-30,2020-09-07,12.71529302970976,10.07315421834002
1.0,0.9915684152383002,0.008431164688158022,2.4511576584000405e-11,3.8418284936273594e-25,4.0695190263561754e-07,1.3097127557776747e-08,6758,0.719276323,4.989405629,250926.34,5119.63934805225,3.231087033,2352,96452,4.9388268,San Ramon,2020-08-02,2020-08-04,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,8,1,Cuarentena,2020-04-30,2020-09-07,13.87122875967998,11.06395627260294
